Species	Country	Locality	Date	Year	Month	Temperature	Código	F0 (%)	F1 (%)	F2 (%)	F3 (%)	F4 (%)				
C. mediterranea	Spain	Cala Estreta	27/05/2021	2021	May	16,0	M21	100	0	0	0	0				
C. mediterranea	Spain	Cala Estreta	02/07/2021	2021	June	21,6	J21	78	13	8	1	0				
C. mediterranea	Spain	Cala Estreta	22/07/2021	2021	July	24,0	J21	76	2	0	6	16				
C. mediterranea	Spain	Cala Estreta	23/08/2021	2021	Agost	23,8	A21	75	25	0	0	0				
C. mediterranea	Spain	Cala Estreta	01/10/2021	2021	September	22,6	S21	92	4	4	0	0				
C. mediterranea	Spain	Cala Estreta	18/10/2021	2021	October	19,8	O21	95	4	1	0	0				
C. mediterranea	Spain	Cala Estreta		2021	November	16,4	N21									
C. mediterranea	Spain	Cala Estreta	13/12/2021	2021	December 	14,7	D21	100	0	0	0	0				
C. mediterranea	Spain	Cala Estreta		2022	January 	13,4	J22									
C. mediterranea	Spain	Cala Estreta		2022	February	13,5	F22									
C. mediterranea	Spain	Cala Estreta		2022	March	13,1	M22									
C. mediterranea	Spain	Cala Estreta		2022	April	14,2	A22									
C. mediterranea	Spain	Cala Estreta		2022	May	17,8	M22									
C. mediterranea	Spain	Cala Estreta		2022	June	21,6	J22									
C. mediterranea	Spain	Cala Estreta		2022	July	24,7	J22									
C. mediterranea	Spain	Cala Estreta		2022	Agost	25,6	A22									
C. mediterranea	Spain	Cala Estreta		2022	September	23,5	S22									
C. mediterranea	Spain	Cala Estreta		2022	October	21,5	O22									
C. mediterranea	Spain	Cala Estreta		2022	November	17,8	N22									
C. mediterranea	Spain	Cala Estreta		2022	December 	15,2	D22									
C. mediterranea	Spain	Port de la Selva		2020	January 	12,91	J20									
C. mediterranea	Spain	Port de la Selva		2020	February	13,39	F20									
C. mediterranea	Spain	Port de la Selva		2020	March		M20									
C. mediterranea	Spain	Port de la Selva		2020	April		A20									
C. mediterranea	Spain	Port de la Selva		2020	May	20,3	M20									
C. mediterranea	Spain	Port de la Selva		2020	June	22,4	J20									
C. mediterranea	Spain	Port de la Selva		2020	July	24,6	J20									
C. mediterranea	Spain	Port de la Selva		2020	Agost	22,0	A20									
C. mediterranea	Spain	Port de la Selva		2020	September	17,3	S20									
C. mediterranea	Spain	Port de la Selva		2020	October	17,4	O20									
C. mediterranea	Spain	Port de la Selva		2020	November	15,6	N20									
C. mediterranea	Spain	Port de la Selva		2020	December 	13,7	D20									
C. mediterranea	Spain	Port de la Selva		2021	January 	12,0	J21									
C. mediterranea	Spain	Port de la Selva		2021	February	13,2	F21									
C. mediterranea	Spain	Port de la Selva		2021	March	12,7	M21									
C. mediterranea	Spain	Port de la Selva		2021	April	13,7	A21									
C. mediterranea	Spain	Port de la Selva		2021	May	15,8	M21									
C. mediterranea	Spain	Port de la Selva		2021	June	21,0	J21									
C. mediterranea	Spain	Port de la Selva		2021	July	22,5	J21									
C. mediterranea	Spain	Port de la Selva		2021	Agost	23,0	A21									
C. mediterranea	Spain	Port de la Selva		2021	September	22,4	S21									
C. mediterranea	Spain	Port de la Selva		2021	October	18,5	O21									
C. mediterranea	Spain	Port de la Selva		2021	November	15,7	N21									
C. mediterranea	Spain	Port de la Selva		2021	December 	13,0	D21									
C. mediterranea	Spain	Port de la Selva		2022	January 	10,5	J22									
C. mediterranea	Spain	Port de la Selva		2022	February	12,2	F22									
C. mediterranea	Spain	Port de la Selva		2022	March	12,8	M22									
C. mediterranea	Spain	Port de la Selva		2022	April	15,4	A22									
C. mediterranea	Spain	Port de la Selva		2022	May	21,6	M22									
C. mediterranea	Spain	Port de la Selva		2022	June	23,4	J22									
C. mediterranea	Spain	Port de la Selva		2022	July	26,6	J22									
C. mediterranea	Spain	Port de la Selva		2022	Agost	26,0	A22									
C. mediterranea	Spain	Port de la Selva		2022	September	23,2	S22									
C. mediterranea	Spain	Port de la Selva		2022	October	20,7	O22									
C. mediterranea	Spain	Port de la Selva		2022	November	17,8	N22									
C. mediterranea	Spain	Port de la Selva		2022	December 	14,4	D22									
C. mediterranea	Morocco	Cap des trois fourches		2020	January 	 	J20									
C. mediterranea	Morocco	Cap des trois fourches		2020	February		F20									
